Nombre producto,id,Material,Package Color,Packaging,Capacity,Botella cap,Brand,Reference,Dirt,Product category,,,,,,,,,,,,,,,
Cocosette Galleta Sandwich 36.5g,60,PLÁSTICO,Café opaco,Envoltorio,36.5 g,N/A,Cocosette,Galleta Sandwich,FALSE,Galletas,,,,,,,,,,,,,,,
Cocosette Galleta Wafer 50g,61,PLÁSTICO,Café opaco,Envoltorio,50 g,N/A,Cocosette,Original,FALSE,Galletas,,,,,,,,,,,,,,,
Colanta Avena con Sabor a Canela 200ml,62,PLÁSTICO,Opaco colorido,Envoltorio,200 ml,N/A,Colanta,Avena Sabor Lataela,FALSE,,,,,,,,,,,,,,,,
Colanta Leche en Polvo Descremada Slight 380g,63,PLÁSTICO,Opaco colorido,Envoltorio,380 g,N/A,Colanta,Slight Leche en Polvo Descremada,FALSE,Leche,,,,,,,,,,,,,,,
Colanta Leche en Polvo Entera 25g,64,PLÁSTICO,Opaco colorido,Envoltorio,25 g,N/A,Colanta,Leche en Polvo Entera,FALSE,Leche,,,,,,,,,,,,,,,
Colanta Leche en Polvo Entera 380g,65,PLÁSTICO,Opaco colorido,Envoltorio,380 g,N/A,Colanta,Leche en Polvo Entera,FALSE,Leche,,,,,,,,,,,,,,,
Colanta Leche Entera Ultra Alta Temperatura Tetrapack 1lt,66,TETRAPACK,Verde opaco,Caja,1 lt,TRUE,Colanta,Leche Entera UHT,FALSE,Leche,,,,,,,,,,,,,,,
Colcafé Cappuccino Lata 200g,67,ALUMINIO,Opaco colorido,Lata,200 g,TRUE,Colcafé,Cappuccino,FALSE,Café,,,,,,,,,,,,,,,
Colgate Caja Máxima Protección Anticaries Original 60ml,68,CARTÓN,Opaco colorido,Caja,60 ml,N/A,Colgate,Máxima Protección Anticaries Original,FALSE,,,,,,,,,,,,,,,,
Colombiana Original Lata 269ml,69,ALUMINIO,Amarillo,Lata,269 ml,N/A,Colombiana,Original,FALSE,Gaseosa,,,,,,,,,,,,,,,
Colombina Gomitas Grissly Sandía 80g,70,PLÁSTICO,Opaco colorido,Envoltorio,80 g,N/A,Grissly,Sandía,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Cool Drink Manza Verde 340ml,71,PLÁSTICO,Transparente claro,Lata,340 ml,N/A,Cool Drink,Manzana Verde,FALSE,Gaseosa,,,,,,,,,,,,,,,
Cool Drink Maracuyá 340ml,72,PLÁSTICO,Transparente claro,Lata,340 ml,N/A,Cool Drink,Maracuyá,FALSE,Gaseosa,,,,,,,,,,,,,,,
Copelia Panelita de Dulce con Leche y Coco 23g,73,PLÁSTICO,Transparente claro,Envoltorio,23 g,N/A,Copelia,Panelita Coco,FALSE,Snacks,,,,,,,,,,,,,,,
Crem Helado Choco Cono 90g,74,PLÁSTICO,Amarillo,Envoltorio,90 g,N/A,Crem Helado,Choco Cono,FALSE,,,,,,,,,,,,,,,,
Cristal Agua 600ml,75,PET,Transparente claro,Botella,600 ml,TRUE,Cristal,Original,FALSE,Agua,,,,,,,,,,,,,,,
Cristal Agua con Gas 600ml,76,PET,Transparente claro,Botella,600 ml,TRUE,Cristal,Agua con gas,FALSE,Agua,,,,,,,,,,,,,,,
Cristal Aloe 330ml,77,PET,Verde opaco,Botella,330 ml,TRUE,Cristal,Aloe,FALSE,Hidratante,,,,,,,,,,,,,,,
Darnel Cuchillos Alta Resistencia Envoltorio,78,PLÁSTICO,Transparente claro,Envoltorio,N/A,N/A,Darnel,Cuchillos Alta Resistencia,FALSE,,,,,,,,,,,,,,,,
D'Cata Chips Limón 50g,79,PLÁSTICO,Transparente claro,Envoltorio,50 g,N/A,D'Cata,Chips Limón,FALSE,Snacks,,,,,,,,,,,,,,,
D'Cata Chips Pimienta/Limón 50g,80,PLÁSTICO,Transparente claro,Envoltorio,50 g,N/A,D'Cata,Chips Pimienta/Limón,FALSE,Snacks,,,,,,,,,,,,,,,
Del Cerro Alfajor Chocolate Blanco 60g,81,PLÁSTICO,Opaco colorido,Envoltorio,60 g,N/A,Del Cerro,Alfajor Chocolate Blanco,FALSE,Snacks,,,,,,,,,,,,,,,
Del Cerro Alfajor con Chocolate 85g,82,PLÁSTICO,Opaco colorido,Envoltorio,85 g,N/A,Del Cerro,Alfajor con Chocolate,FALSE,Snacks,,,,,,,,,,,,,,,
Del Cerro Brownie Arequipe 50g,83,PLÁSTICO,Café opaco,Envoltorio,50 g,N/A,Del Cerro,Brownie Arequipe,FALSE,Snacks,,,,,,,,,,,,,,,
Del Cerro Cafetas 48g,84,PLÁSTICO,Opaco colorido,Envoltorio,48 g,N/A,Del Cerro,Cafetas,FALSE,Snacks,,,,,,,,,,,,,,,
Del Valle Frutas Cítricas Caja 188ml,85,TETRAPACK,Naranjado,Caja,188 ml,N/A,Del Valle,Frutas Cítricas,FALSE,Jugo,,,,,,,,,,,,,,,
Del Valle Mango y Fresa Caja 188ml,86,TETRAPACK,Opaco colorido,Caja,188 ml,N/A,Del Valle,Mango y Fresa,FALSE,Jugo,,,,,,,,,,,,,,,
Del Valle Mora Caja 188ml,87,TETRAPACK,Fucsia opaco,Caja,188 ml,N/A,Del Valle,Mora,FALSE,Jugo,,,,,,,,,,,,,,,
Del Valle Piña y Mandarina Caja 188ml,88,TETRAPACK,Verde opaco,Caja,188 ml,N/A,Del Valle,Piña y Mandarina,FALSE,Jugo,,,,,,,,,,,,,,,
DeTodito BBQ 165g,89,PLÁSTICO,Rojo opaco,Envoltorio,165 g,N/A,DeTodito,BBQ,FALSE,Snacks,,,,,,,,,,,,,,,
DeTodito BBQ 50g,90,PLÁSTICO,Rojo opaco,Envoltorio,50 g,N/A,DeTodito,BBQ,FALSE,Snacks,,,,,,,,,,,,,,,
DeTodito Limón 165g,91,PLÁSTICO,Verde opaco,Envoltorio,165 g,N/A,DeTodito,Limón,FALSE,Snacks,,,,,,,,,,,,,,,
DeTodito Limón 50g,92,PLÁSTICO,Verde opaco,Envoltorio,50 g,N/A,DeTodito,"Mezcla de papas, arepitas de maíz, plátano y chicharrón",FALSE,Snacks,,,,,,,,,,,,,,,
DeTodito Mix 165g,93,PLÁSTICO,Naranjado,Envoltorio,165 g,N/A,DeTodito,Mix,FALSE,Snacks,,,,,,,,,,,,,,,
DeTodito Mix 50g,94,PLÁSTICO,Naranjado,Envoltorio,50 g,N/A,DeTodito,MIX,FALSE,Snacks,,,,,,,,,,,,,,,
DeTodito Natural 50g,95,PLÁSTICO,Azul opaco,Envoltorio,50 g,N/A,DeTodito,Natural,FALSE,Snacks,,,,,,,,,,,,,,,
Dezzato Snacks Barquillo Crema de Avellana 35 g,96,PLÁSTICO,Opaco colorido,Envoltorio,35 g,N/A,Dezzato,Barquillo Crema Avellana,FALSE,Snacks,,,,,,,,,,,,,,,
Doritos MegaQueso 45g,97,PLÁSTICO,Rojo opaco,Envoltorio,45 g,N/A,Doritos,MegaQueso,FALSE,Snacks,,,,,,,,,,,,,,,
Ducales Tentación 26g,98,PLÁSTICO,Rojo opaco,Envoltorio,26 g,N/A,Ducales,Tentación,FALSE,Galletas,,,,,,,,,,,,,,,
Dux Galletas Original 27.8g,99,PLÁSTICO,Azul opaco,Envoltorio,27.8 g,N/A,Dux,Original,FALSE,Galletas,,,,,,,,,,,,,,,
Ekii Cranberry 400 ml,100,VIDRIO,Opaco colorido,Botella,400 ml,TRUE,Ekii,Crenberry,FALSE,Hidratante,,,,,,,,,,,,,,,
El Fortín Lomitos de Atún en Aceite de Soya 140g,101,ALUMINIO,Opaco colorido,Lata,140 g,N/A,El Fortín,Lomitos de Atún en Aceite de Soya,FALSE,,,,,,,,,,,,,,,,
Elemental Blondie Delirious Caramel 80g,102,PLÁSTICO,Café opaco,Envoltorio,80 g,N/A,Elemental,Delirious Caramel,FALSE,Snacks,,,,,,,,,,,,,,,
Elemental Brownie Pyscho Chocolate 80g,103,PLÁSTICO,Amarillo,Envoltorio,80 g,N/A,Elemental,Pyscho Chocolate,FALSE,Snacks,,,,,,,,,,,,,,,
Elemental Galleta Chocolate Decadente 80g,104,PLÁSTICO,Beige Opaco,Envoltorio,80 g,N/A,Elemental,Chocolate Decadente,FALSE,Galletas,,,,,,,,,,,,,,,
Elemental Galleta Cinnamon Sun 80g,105,PLÁSTICO,Beige Opaco,Envoltorio,80 g,N/A,Elemental,Cinnamon Sun,FALSE,Galletas,,,,,,,,,,,,,,,
Elemental Galleta Moka 80g,106,PLÁSTICO,Beige Opaco,Envoltorio,80 g,N/A,Elemental,Moka,FALSE,Galletas,,,,,,,,,,,,,,,
Elemental Roots Galleta de Nueces con Frutos Rojos 30g,107,PLÁSTICO,Blanco opaco,Envoltorio,30 g,N/A,Elemental,Roots Galleta Nueces con Frutos Rojos,FALSE,Snacks,,,,,,,,,,,,,,,
Elemental Roots Galleta de Nueces con Limón 30g,108,PLÁSTICO,Blanco opaco,Envoltorio,30 g,N/A,Elemental,Roots Galleta Nueces con Limón,FALSE,Snacks,,,,,,,,,,,,,,,
Chocolate oscuro,109,PAPEL_OTROS,Beige Opaco,Envoltorio,11 g,N/A,Equiori,Barra de Chocolate,FALSE,Chocolate,,,,,,,,,,,,,,,
Equiori Chocolate Orgánico Oscuro con Marañón 80g,110,PAPEL_OTROS,Opaco colorido,Envoltorio,80 g,N/A,Equiori,Chocolate Oscuro con Marañón,FALSE,Chocolate,,,,,,,,,,,,,,,
Esnatos Arvejas 40g,111,PLÁSTICO,Verde-azulado,Envoltorio,40 g,N/A,Esnatos,Arvejas,FALSE,,,,,,,,,,,,,,,,
Esnatos Garbanzos Picantes 40g,112,PLÁSTICO,Rojo opaco,Envoltorio,40 g,N/A,Esnatos,Garbanzos Picantes,FALSE,,,,,,,,,,,,,,,,
Esnatos Mix Picante Garbanzos Maíz Maní 40g,113,PLÁSTICO,Naranjado,Envoltorio,40 g,N/A,Esnatos,Garbanzos Maíz Maní,FALSE,Snacks,,,,,,,,,,,,,,,
Ferrero Noggy 84g,114,CARTÓN,Naranjado,Caja,84 g,N/A,Ferrero,Noggy,FALSE,Chocolate,,,,,,,,,,,,,,,
Ferrero Rocher 3 unds 37.5g,115,PLÁSTICO,Transparente claro,Envoltorio,37.5 g,N/A,Ferrero,Ferrero Rocher,FALSE,Chocolate,,,,,,,,,,,,,,,
Festival Fresa Galletas 50g,116,PLÁSTICO,Opaco colorido,Envoltorio,50 g,N/A,Festival,Fresa Galletas,FALSE,Galletas,,,,,,,,,,,,,,,
Festival Chocolate 50g,117,PLÁSTICO,Opaco colorido,Envoltorio,50 g,N/A,Festival,Chocolate,FALSE,Galletas,,,,,,,,,,,,,,,
Festival Golochips 20g,118,PLÁSTICO,Opaco colorido,Envoltorio,20 g,N/A,Festival,Golochips,FALSE,Galletas,,,,,,,,,,,,,,,
Festival Limón Galletas 50g,119,PLÁSTICO,Opaco colorido,Envoltorio,50 g,N/A,Festival,Limón Galletas,FALSE,Galletas,,,,,,,,,,,,,,,
Festival Vainilla Galletas 50g,120,PLÁSTICO,Opaco colorido,Envoltorio,50 g,N/A,Festival,Vainilla Galletas,FALSE,Galletas,,,,,,,,,,,,,,,
Fini Regaliz Tubes Twister 40g,121,PLÁSTICO,Opaco colorido,Envoltorio,40 g,N/A,Fini,Regaliz Tubes Twister,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Fini Roller Fizz Fresa/Limón/Manzana/Frambuesa 20g,122,PLÁSTICO,Opaco colorido,Envoltorio,20 g,N/A,Roller,Fizz Fresa/Limón/Manzana/Frambuesa,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Fini Roller Fizz Sandía 20g,123,PLÁSTICO,Opaco colorido,Envoltorio,20 g,N/A,Roller,Fizz Sandía,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Fire Spray Manzana Verde Dulce Líquido 70ml,124,PLÁSTICO,Opaco colorido,Envase,70 ml,TRUE,Fire Spray,Manzana Verde,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Flips Crunchy Crema Chocolate 27g,125,PLÁSTICO,Opaco colorido,Envoltorio,27 g,N/A,Flips,Crunchy Crema Chocolate,FALSE,Chocolate,,,,,,,,,,,,,,,
Flips Dulce de Leche 15g,126,PLÁSTICO,Opaco colorido,Envoltorio,15 g,N/A,Flips,Original,FALSE,Snacks,,,,,,,,,,,,,,,
Frito Lay Maní Salado 200g,127,PLÁSTICO,Opaco colorido,Envoltorio,200 g,N/A,Frito Lay,Maní Salado,FALSE,Snacks,,,,,,,,,,,,,,,
Galletas Saludables Avena y Mantequilla 70g,128,PLÁSTICO,Transparente claro,Envoltorio,70 g,N/A,N/A,N/A,FALSE,Galletas,,,,,,,,,,,,,,,
Garoto Bombones Surtidos 82g,129,CARTÓN,Amarillo,Caja,82 g,N/A,Garoto,Bombones Surtidos,FALSE,Chocolate,,,,,,,,,,,,,,,
Gas Spray Candy Fresa 60ml,130,PLÁSTICO,Rosado opaco,Envase,60 ml,N/A,Gas Spray Candy,Fresa,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Gas Spray Candy Manzana 60ml,131,PLÁSTICO,Verde opaco,Envase,60 ml,N/A,Gas Spray Candy,Manzana,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Gatorade Frutos Tropicales 500ml,132,PET,Transparente claro,Botella,500 ml,TRUE,Gatorade,Bebida hidratante energética,FALSE,Hidratante,,,,,,,,,,,,,,,
GOL Original 31g,133,PLÁSTICO,Morado,Envoltorio,31 g,N/A,GOL,Original,FALSE,Snacks,,,,,,,,,,,,,,,
Gomitas Importadas 44 g,134,PLÁSTICO,Opaco colorido,Envoltorio,44 g,N/A,N/A,N/A,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Gomitas Trululu Aros 90g,135,PLÁSTICO,Amarillo,Envoltorio,90 g,N/A,Trululu,Aros,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Greco Kurabié Galletas con Almendras 50g,136,CARTÓN,Negro opaco,Caja,50 g,N/A,Greco,Kurabié Galletas con Almendras,FALSE,Galletas,,,,,,,,,,,,,,,
Gumbia Mango Deshidratado 28g,137,PAPEL_OTROS,Opaco colorido,Envoltorio,28 g,N/A,Gumbia,Mango Deshidratado,FALSE,Snacks,,,,,,,,,,,,,,,
Gumbia Mango Biche con Sal Marina 28g,138,PAPEL_OTROS,Opaco colorido,Envoltorio,28 g,N/A,Gumbia,Mango Biche con Sal Marina,FALSE,Snacks,,,,,,,,,,,,,,,
Gumbia Piña 28g,139,PAPEL_OTROS,Opaco colorido,Envoltorio,28 g,N/A,Gumbia,Piña,FALSE,Snacks,,,,,,,,,,,,,,,
H2O Lima-limón Botella 400 ml,140,PET,Verde transparente,Botella,400 ml,TRUE,H2O,Lima-Limón,FALSE,Hidratante,,,,,,,,,,,,,,,
Halls Cherry-Lyptus 25.2g,141,PAPEL_OTROS,Rojo opaco,Envoltorio,25.2 g,N/A,Halls,Cherry-Lyptus,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Halls Mentol y Eucalipto 25.2g,142,PAPEL_OTROS,Azul opaco,Envoltorio,25.2 g,N/A,Halls,Mentol y Eucalipto,FALSE,Dulces/Golosinas,,,,,,,,,,,,,,,
Hanuta Galleta Wafer con Avellana y Cacao 22g,143,PLÁSTICO,Opaco colorido,Envoltorio,22 g,N/A,Hanuta,Galleta Wafer Avellana y Cacao,FALSE,Galletas,,,,,,,,,,,,,,,
Hatsu Cartón Caja x6 und (300ml c/u) 1800ml,144,CARTÓN,Café opaco,Caja,1800 ml,N/A,Hatsu,N/A,FALSE,Hidratante,,,,,,,,,,,,,,,
Hatsu Soda Frambuesa y Rosas 300ml,145,VIDRIO,Transparente claro,Botella,300 ml,TRUE,Hatsu,Soda Frambuesa & Rosas,FALSE,Hidratante,,,,,,,,,,,,,,,
Hatsu Soda Sandía y Albahaca 300ml,146,VIDRIO,Transparente claro,Botella,300 ml,TRUE,Hatsu,Soda Sandía & Albahaca,FALSE,Hidratante,,,,,,,,,,,,,,,
Hatsu Soda Uva Blanca y Romero 300ml,147,VIDRIO,Transparente claro,Botella,300 ml,TRUE,Hatsu,Soda Uva Blanca & Romero,FALSE,Hidratante,,,,,,,,,,,,,,,
Hatsu Tea Red Berries Botella 400 ml,148,VIDRIO,Rojo opaco,Botella,400 ml,TRUE,Hatsu,Tea Red Berries,FALSE,Hidratante,,,,,,,,,,,,,,,
Hatsu Tea Té Blanco Sabor Carambolo 400 ml,149,VIDRIO,Amarillo,Botella,400 ml,TRUE,Hatsu,Tea Té Blanco Carambolo & Flor de Loto,FALSE,Hidratante,,,,,,,,,,,,,,,
Hatsu Tea Té Verde Yuzu & Manzanilla Botella 400 ml,150,VIDRIO,Verde opaco,Botella,400 ml,TRUE,Hatsu,Tea Té Verde Yuzu & Manzanilla,FALSE,Hidratante,,,,,,,,,,,,,,,
Hatsu Tetrapack Flor de Cerezo 200ml,151,TETRAPACK,Morado,Caja,200 ml,N/A,Hatsu,Tea Té Blanco Flor de Cerezo,FALSE,Hidratante,,,,,,,,,,,,,,,
Helado Külfi Macadamia Caja 650g,152,PLÁSTICO,Opaco colorido,Caja,650 g,N/A,Külfi,Macadamia,FALSE,,,,,,,,,,,,,,,,
Hit Frutas Tropicales 500ml,153,PET,Transparente claro,Botella,500 ml,TRUE,Hit,Frutas Tropicales,FALSE,Jugo,,,,,,,,,,,,,,,
